text	label	label_text
Je sais que je me nomme Charlotte Villeroy, mais on m'appelle Toutoune, mot qui vient de toutou, parce que j'ai le museau d'un enfant de chien-loup.	0	narrator
Comme je joue depuis ce matin, et pour la première fois, avec les petits qui habitent l'appartement au-dessus du nôtre, et que ce sont deux garçons pas plus hauts que moi, en robe comme moi, ils m'ont demandé, voyant mes cheveux coupés et mes mouvements brusques, si j'étais un garçon ou une fille.	0	narrator
J'ai répondu : « Sais pas. » 	1	character
Ils ont dit : « Va demander à ton père. » 	1	character
Et je suis descendue toute seule dans les escaliers, pour poser la question. 	0	narrator
Arrivée à notre porte, j'ai cogné, appelé, car la sonnette est trop haute.	0	narrator
Ma bonne est venue m'ouvrir, tout effrayée.	0	narrator
Mais je ne me suis pas arrêtée.	0	narrator
J'ai couru, essoufflée, jusqu'au salon. 	0	narrator
Maman était au piano, et papa assis tout près d'elle. 	0	narrator
J'ai crié, dans mon langage d'alors :	0	narrator
— T'est-ce-t-il est, Toutoune, papa ? 	1	character
Une fille ou un narçon ? 	1	character
Les petits l'amis savent pas, et moi sais pas.	1	character
Papa et maman ont beaucoup ri. 	0	narrator
Papa m'a prise dans ses jambes. 	0	narrator
Il me regardait de tout près, d'un air si sérieux que j'avais peur. 	0	narrator
J'ai encore peur de papa maintenant. 	0	narrator
Il se moque de moi et me taquine.	0	narrator
Il m'a dit :	0	narrator
— Tu diras à tes petits l'amis que tu es un garçon encore pour trois ans, et que, dans trois ans, tu seras une fille.	1	character
J'étais déjà dans l'escalier.	0	narrator
Je suis remontée très vite ; et, hors d'haleine, j'ai répété la chose aux garçons.	0	narrator
Ils ont répondu : « Bien. Ça fait rien. 	1	character
On jouera tout de même avec toi. » 	1	character
Voilà le premier fait qui m'ait frappée et qui soit resté net dans mon esprit.	0	narrator
Le reste, en ce qui concerne cette toute première période de ma vie, se confond dans des nuées plus ou moins épaisses.	0	narrator
Mais dès le berceau, je crois, j'ai senti et j'ai aimé le parfum que porte maman, j'ai discerné, de plus près, l'odeur différente de sa joue poudrée, j'ai compris la douceur des étoffes de ses corsages, et, surtout, j'ai vu, comme un trésor qui brille dans des ombres, la couleur de ses yeux laiteux, et ses cils brillants qu'on dirait toujours mouillés et collés par des larmes.	0	narrator
De cet appartement de Paris où j'avais alors le bonheur de vivre avec mes parents et où j'ai dû rester jusqu'à environ quatre ans, il ne m'est rien resté. 	0	narrator
Seul, le voyage qui nous ramena ici, au manoir, m'a laissé dans la mémoire quelque chose de saisissable. 	0	narrator
C'est si vague que j'ose à peine essayer d'en parler. 	0	narrator
Et pourtant c'est un charme. 	0	narrator
Cela se compose de bousculades et de bercements, d'étonnements et d'épouvantes, de lassitude longue et de distractions fantastiques. 	0	narrator
À un moment, cela je ne peux l'oublier, --- j'étais sur les genoux de maman. 	0	narrator
Mon cœur était serré comme par une tristesse immense, et pourtant, c'était de la joie.	0	narrator
Comme j'étais heureuse !	0	narrator
Ce n'était pas la première fois que maman me prenait sur ses genoux, bien sûr.	0	narrator
Et pourtant, dans mon souvenir, c'est la première et l'unique fois. 	0	narrator
Son corsage, où je cachais ma tête, était peut-être en satin. 	0	narrator
C'était lisse. 	0	narrator
C'était chaud comme un édredon. 	0	narrator
C'était parfumé comme un sachet. 	0	narrator
Maman disait :	0	narrator
— Elle dort...	1	character
Je ne dormais pas. 	0	narrator
J'avais les yeux fermés pour être plus heureuse. 	0	narrator
Car d'habitude, maman ne s'occupait jamais de moi. 	0	narrator
Elle était toujours sortie avec papa, et moi toute seule avec la bonne, ou là-haut, chez les petits amis.	0	narrator
C'était la bonne qui m'habillait le matin et me couchait le soir. 	0	narrator
Je ne voyais maman que par apparitions. 	0	narrator
Quelquefois c'était dans le jour. 	0	narrator
Elle avait toujours un chapeau sombre et une longue voilette noire, derrière laquelle étaient ses yeux extraordinaires. 	0	narrator
Quelquefois, c'était la nuit. 	0	narrator
Elle devait rentrer du bal. 	0	narrator
Je me réveillais, et je la voyais penchée sur moi, brillante comme une fée. 	0	narrator
Mais toujours à côté d'elle il y avait mon père, silhouette sombre dont la présence me gênait. 	0	narrator
Puis ils disparaissaient tous deux, et j'étais longue à me remettre. 	0	narrator
Dans ce voyage pour venir au manoir, il y a encore une sensation qui m'est restée : être assise au buffet, --- je me souviens --- de Serquigny. 	0	narrator
C'était sur une chaise bien trop haute pour moi. 	0	narrator
On avait entassé des coussins. 	0	narrator
Nous déjeunions tous les trois. 	0	narrator
Tout près de ma petite figure il y avait un huilier de cristal. 	0	narrator
Cela brillait et me fascinait. 	0	narrator
J'étais petite, petite, et plongée dans l'ignorance de tout, dans l'inconnu, dans une terreur sourde et constante, assez délicieuse. 	0	narrator
Tout s'efface là. 	0	narrator
Un an, quand on est en bas âge, passe comme une éternité. 	0	narrator
Je me revois très longtemps après, ici, au manoir d'où je ne suis pas sortie depuis. 	0	narrator
À cette époque, tout y est bien trop grand pour moi. 	0	narrator
Mais il y a maman dans la maison et dans le parc, et je la vois beaucoup plus souvent qu'à Paris. 	0	narrator
Je n'ai plus ma bonne, mais on m'a donnée à la mère Lacoste, qui était jadis la nourrice de maman, la même mère Lacoste qui dort dans la chambre à côté, ce soir. 	0	narrator
...Et puis, il y a le jour où je me suis éveillée dans mon petit lit, et où la pauvre vieille est venue en pleurant me dire, mettant ses paroles à ma portée : 	0	narrator
— Pâtie, maman. Pâtie... Loin... loin... 	1	character
Partie ? Pendant que je dormais ?	1	character
Duroy avait ralenti sa marche, et l'envie de boire lui séchait la gorge.	0	narrator
Une soif chaude, une soif de soir d'été le tenait, et il pensait à la sensation délicieuse des boissons froides coulant dans la bouche. 	0	narrator
Mais s'il buvait seulement deux bocks dans la soirée, adieu le maigre souper du lendemain, et il les connaissait trop, les heures affamées de la fin du mois. 	0	narrator
Il se dit : « Il faut que je gagne dix heures et je prendrai mon bock à l'Américain. Nom d'un chien ! que j'ai soif tout de même ! »  	1	character
Et il regardait tous ces hommes attablés et buvant, tous ces hommes qui pouvaient se désaltérer tant qu'il leur plaisait. 	0	narrator
Il allait, passant devant les cafés d'un air crâne et gaillard, et il jugeait d'un coup d'œil, à la mine, à l'habit, ce que chaque consommateur devait porter d'argent sur lui.  	0	narrator
Et une colère l'envahissait contre ces gens assis et tranquilles.  	0	narrator
En fouillant leurs poches, on trouverait de l'or, de la monnaie blanche et des sous.  	0	narrator
En moyenne, chacun devait avoir au moins deux louis ; ils étaient bien une centaine au café ; cent fois deux louis font quatre mille francs !  	0	narrator
Il murmurait : « Les cochons ! » tout en se dandinant avec grâce.  	0	narrator
S'il avait pu en tenir un au coin d'une rue, dans l'ombre bien noire, il lui aurait tordu le cou, ma foi, sans scrupule, comme il faisait aux volailles des paysans, aux jours de grandes manœuvres. 	0	narrator
Et il se rappelait ses deux années d'Afrique, la façon dont il rançonnait les Arabes dans les petits postes du Sud.  	0	narrator
Et un sourire cruel et gai passa sur ses lèvres au souvenir d'une escapade qui avait coûté la vie à trois hommes de la tribu des Ouled-Alane et qui leur avait valu, à ses camarades et à lui, vingt poules, deux moutons et de l'or, et de quoi rire pendant six mois. 	0	narrator
On n'avait jamais trouvé les coupables, qu'on n'avait guère cherché d'ailleurs, l'Arabe étant un peu considéré comme la proie naturelle du soldat. 	0	narrator
À Paris, c'était autre chose. 	0	narrator
On ne pouvait pas marauder gentiment, sabre au côté et revolver au poing, loin de la justice civile, en liberté.  	0	narrator
Il se sentait au cœur tous les instincts du sous-off lâché en pays conquis.  	0	narrator
Certes il les regrettait, ses deux années de désert.  	0	narrator
Quel dommage de n'être pas resté là-bas !  	0	narrator
Mais voilà, il avait espéré mieux en revenant.  	0	narrator
Et maintenant !… Ah ! oui, c'était du propre, maintenant ! 	0	narrator
Il faisait aller sa langue dans sa bouche, avec un petit claquement, comme pour constater la sécheresse de son palais. 	0	narrator
La foule glissait autour de lui, exténuée et lente, et il pensait toujours :  	0	narrator
« Tas de brutes ! tous ces imbéciles-là ont des sous dans le gilet. »  	1	character
Il bousculait les gens de l'épaule, et sifflotait des airs joyeux.  	0	narrator
Des messieurs heurtés se retournaient en grognant ; des femmes prononçaient :  	0	narrator
« En voilà un animal ! »  	1	character
Il passa devant le Vaudeville, et s'arrêta en face du café Américain, se demandant s'il n'allait pas prendre son bock, tant la soif le torturait. 	0	narrator
Avant de se décider, il regarda l'heure aux horloges lumineuses, au milieu de la chaussée.  	0	narrator
Il était neuf heures un quart.  	0	narrator
Il se connaissait : dès que le verre plein de bière serait devant lui, il l'avalerait.  	0	narrator
Que ferait-il ensuite jusqu'à onze heures ? 	0	narrator
Il passa.  	0	narrator
« J'irai jusqu'à la Madeleine, se dit-il, et je reviendrai tout doucement. » 	1	character
Comme il arrivait au coin de la place de l'Opéra, il croisa un gros jeune homme, dont il se rappela vaguement avoir vu la tête quelque part. 	0	narrator
Il se mit à le suivre en cherchant dans ses souvenirs, et répétant à mi-voix :  	0	narrator
« Où diable ai-je connu ce particulier-là ? » 	1	character
Il fouillait dans sa pensée, sans parvenir à se le rappeler ; puis tout d'un coup, par un singulier phénomène de mémoire, le même homme lui apparut moins gros, plus jeune, vêtu d'un uniforme de hussard.  	0	narrator
Il s'écria tout haut : « Tiens, Forestier ! » et, allongeant le pas, il alla frapper sur l'épaule du marcheur.  	0	narrator
L'autre se retourna, le regarda, puis dit :  	0	narrator
« Qu'est-ce que vous me voulez, monsieur ? »  	1	character
Duroy se mit à rire : 	0	narrator
« Tu ne me reconnais pas ? 	1	character
— Non. 	1	character
— Georges Duroy du 6e hussards. » 	1	character
Forestier tendit les deux mains : 	0	narrator
« Ah ! mon vieux ! comment vas-tu ? 	1	character
— Très bien et toi ? 	1	character
— Oh ! moi, pas trop ; figure-toi que j'ai une poitrine de papier mâché maintenant ; je tousse six mois sur douze, à la suite d'une bronchite que j'ai attrapée à Bougival, l'année de mon retour à Paris, voici quatre ans maintenant. 	1	character
— Tiens ! tu as l'air solide, pourtant. » 	1	character
Et Forestier, prenant le bras de son ancien camarade, lui parla de sa maladie, lui raconta les consultations, les opinions et les conseils des médecins, la difficulté de suivre leurs avis dans sa position.  	0	narrator
On lui ordonnait de passer l'hiver dans le Midi ; mais le pouvait-il ? 	0	narrator
Il était marié et journaliste, dans une belle situation. 	0	narrator
« Je dirige la politique à La Vie Française.  	1	character
Je fais le Sénat au Salut, et, de temps en temps, des chroniques littéraires pour La Planète.  	1	character
Voilà, j'ai fait mon chemin. » 	1	character
Duroy, surpris, le regardait.  	0	narrator
Il était bien changé, bien mûri.  	0	narrator
Il avait maintenant une allure, une tenue, un costume d'homme posé, sûr de lui, et un ventre d'homme qui dîne bien.  	0	narrator
Autrefois il était maigre, mince et souple, étourdi, casseur d'assiettes, tapageur et toujours en train.  	0	narrator
En trois ans Paris en avait fait quelqu'un de tout autre, de gros et de sérieux, avec quelques cheveux blancs sur les tempes, bien qu'il n'eût pas plus de vingt-sept ans. 	0	narrator
Forestier demanda : 	0	narrator
« Où vas-tu ? » 	1	character
Duroy répondit : 	0	narrator
« Nulle part, je fais un tour avant de rentrer. 	1	character
— Eh bien, veux-tu m'accompagner à La Vie Française, où j'ai des épreuves à corriger ; puis nous irons prendre un bock ensemble. 	1	character
— Je te suis. » 	1	character
Et ils se mirent à marcher en se tenant par le bras avec cette familiarité facile qui subsiste entre compagnons d'école et entre camarades de régiment. 	0	narrator
