	text	label	label_text
21	"?« klang die Stimme des 
Angekommenen, der indessen in seinem abgetragenen, bis an den Hals zugeknöpften Rocke 
und dem alten schwarzen Hute, der schon theilweise der Krempe untreu geworden war, 
einen auffallenden Contrast mit dem Ersteren bildete."		
22	"»Ich sehe, Sie bewundern die 
schöne Natur in allen ihren Branchen,« setzte er hinzu, mit dem Kopfe nach der 
forteilenden Frauengestalt hindeutend, »es sollte mir leid thun, wenn ich gestört 
hätte!« 
»Hat nichts zu sagen,« erwiderte Jener und nahm seinen früheren Platz ein, »ich 
möchte mich nur todtärgern, daß ich so ein Dummkopf im Englischsprechen bin."		
23	"Ueber 
zwei Monate schon treibe ich mich hier herum und kann noch nicht einmal eine einzige 
Frage verstehen!« 
»"		
24	"Ich habe Ihnen das vom Anfange an prophezeit,« sagte der neue Gefährte, indem er 
sich mit der aristokratischen Nachlässigkeit eines Berliner Gardelieutenants auf die 
Bank warf, »Sie wollen aber von meiner Methode, schnell und gründlich in die 
Geheimnisse der Sprache zu dringen, nichts wissen."		
25	Apropos!		
26	"Haben sie nicht eine 
Cigarre bei sich?"		
27	"Ich war heute zufällig etwas zu derangirt, um mir neuen Vorrath 
kaufen zu können, und ich vermisse lieber eine Mahlzeit, als meine gewöhnliche 
Cigarre.« 
Helmstedt hatte ihm schon sein Etui hingehalten, aus welchem sich der Andere 
bediente, hierauf in seiner sich bescheiden verbergenden Weste ein Schwefelholz 
suchte und bald mit der Miene eines Kenners den blauen Rauch in die Luft blies."		
28	"»Ja,« 
fuhr er dann behaglich fort, »ich bin doch kaum achtzehn Monate länger hier als Sie, 
aber ich kann wirklich sagen, daß ich in den meisten New-Yorker Verhältnissen 
vollkommen zu Hause bin, und meine augenblickliche Lage würde auch eine bessere sein, 
hätte ich in den letzten Monaten nicht positives Malheur gehabt."		
29	"Erstlich hatte meine 
letzte Freundin, deren Wohnung ich theilte, die seltsame Marotte, daß ich ihr Geld 
nicht zum Spiele verwenden solle – und als ich ihr darin nicht willfahren konnte, 
finde ich mich am Morgen nach einer etwas wilden Nacht allein in dem vollkommen 
ausgeräumten Quartiere, verlassen von dem tollen Mädchen und von allen 
Existenzmitteln."		
30	"Ich gehe nun nothgedrungen in ein Boardinghaus, werde aber hier 
schon nach der ausgebliebenen Zahlung für die erste Woche freundlich ersucht, Raum zu 
machen, und gegen alles Gesetz werden mir auch noch meine Habseligkeiten inne 
behalten."		
31	Die Wirthe werden jetzt wirklich jeden Tag gemeiner und illiberaler.		
32	"Indessen,« fuhr er fort, zwei wohlgelungene Ringel in die Luft blasend, »ich habe 
bereits wieder Aussichten;"		
33	"es ist merkwürdig, wie hier ein nobles Air geliebt 
wird!« 
Helmstedts Augen überliefen bei diesen Worten die äußere Erscheinung seines Gefährten 
und er konnte ein halb sarkastisches Lächeln nicht unterdrücken."		
34	"O, Sie verziehen den Mund über mein jetziges Derangement,« fuhr der Redende 
gemessen fort, »was wollen Sie aber, lieber Freund?"		
35	"In einiger Zeit sind Sie 
vielleicht genau in demselben Zustande, ohne aber die Mittel zu besitzen, sich zu 
helfen, wie ich es kann."		
36	"Sie verschleudern jetzt Zeit und Geld, um hier eine Stellung 
für Sie zu finden, wie sie gar nicht existirt."		
37	"Sie leiden an derselben Krankheit, 
woran jährlich Hunderte von gebildeten jungen Deutschen hier zu Grunde gehen."		
38	"Hacken 
und graben mögen sie nicht, ein Handwerk versteht Keiner, nach dem Westen zu gehen"		
39	"fürchten sie sich und nun suchen sie noch Stellungen als Ladendiener, Schreiber, 
Lehrer oder dergleichen, ohne auch nur das Haupterforderniß, das Verständniß der 
Landessprache, zu besitzen."		
40	"Das dauert so lange, als das mitgebrachte Geld vorhält, 
und die Hoffnungen schwinden erst, wenn der Credit im Boardinghause gekündigt wird."		
41	"Dann folgt noch eine kurze Zeit des Straßenelends und Mancher, der nicht den 
moralischen Muth hat, als letztes Mittel zur Hacke zu greifen oder Knecht auf einer 
Farm zu werden, macht seiner Noth durch einen Sprung in den North-River ein Ende."		
42	"Welche Hilfsmittel haben Sie denn, Verehrter, wenn Ihre jetzigen Baaria zu Ende gehen 
und sich nicht ein ganz besonderer Zufall Ihnen entgegenwirft?"		
43	"Man denkt in der Regel 
nicht eher an die trübe Zeit, bis sie ins Zimmer herein sieht.« 
Helmstedts Gesicht war nachdenklich geworden."		
44	"Sie malen schwarz, Seifert,« sagte er 
nach einer Weile;"		
45	"»ich habe mir indessen schon manche Freunde erworben, die mir ihre 
Hilfe zugesagt, und ich denke, ich will doch wenigstens den Anfang zu einer Existenz 
gewinnen, ehe ich ganz auf dem Trockenen sitze."		
46	"Uebrigens,« fuhr er lebendiger fort, 
»haben Sie denn so große Resourcen?"		
47	"Sie scheinen mir den Prediger zu machen und auch 
in eigener Person die abschreckenden Beispiele darzustellen.« 
»Durchaus fehlgeschossen,« erwiderte der Andere ernsthaft und schnippte die Asche von 
seiner Cigarre."		
48	"Ihre Freunde werden Ihnen nichts nützen, sondern Sie im 
Gegentheil früher ruiniren, da sie Ihnen das Geld durchbringen helfen."		
49	"Trauen Sie 
darin meiner Erfahrung."		
50	"Was meine geringe Person aber betrifft, so sollen Sie gleich 
anderer Meinung werden."		
51	"– Sie wissen, ich mußte Deutschland meiner Ueberzeugungen und 
einiger zufälliger Schulden wegen verlassen, brachte indessen noch so viel baares 
Kapital hierher, um für einige Monate mich sorglos in das hiesige Treiben stürzen zu 
können."		
52	"Ohne Selbstlob muß ich sagen, daß ich bald die Verhältnisse richtig 
beurtheilen lernte, besonders da das unglückliche Ende zweier Bekannten mich mit der 
Nase auf die rechte Erkenntniß stieß."		
53	"Ich beschloß, vor allen Dingen Amerikaner zu 
werden, besuchte nur amerikanische Trinklokale und hatte bald vermöge meines offenen 
Beutels einen Kreis von ›first rate boys‹ als Freunde um mich."		
54	"Sie rechneten es sich 
zur Ehre, mich bei ihren verschiedenen Freundinnen einzuführen und schon nach dem 
ersten Champagner-Supper und einigen splendiden Landpartien, die ich veranstaltete, 
rissen sich die Mädchen um den ›Grafen‹, unter welchem Titel ich allgemein passirte, 
und der Graf hatte Tag und Nacht überall freien Eintritt."		
55	"Innerhalb der ersten drei 
Monate schon"		
56	"sprach ich perfect englisch und war au fait in den New-Yorker 
Geheimnissen – es gibt keine besseren Lehrer für Beides als zärtliche Mädchen und 
flotte Jungen."		
57	"Vier Wochen später war indessen auch mein Geld zu Ende, meine Freunde 
zogen sich bis auf wenige zurück, wie ich es erwartet, meine Freundinnen aber konnten 
den ›nobeln Grafen‹ nicht so schnell entbehren."		
58	"Jede wollte mich jetzt zu ihrem 
besonderen Galan haben, um mich zu ernähren und auf der Straße mit mir Staat zu 
machen."		
59	"Ich verbrachte ein Jahr in wahrer Schmetterlingsexistenz, von einer Blume zur 
andern flatternd."		
60	"Da mußte ich die Thorheit begehen, mich von einer neu angekommenen 
Creolin für längere Zeit fesseln zu lassen und dadurch die ganze Zahl meiner übrigen 
Herrinnen gegen mich aufzuregen – die Folge davon sehen Sie in meiner jetzigen 
Lage, wie ich Ihnen vorhin mittheilte."		
61	Indessen hat das nichts zu sagen.		
62	"Mehrere gute 
Hotels, die in meiner Bildung und Attitude, verbunden mit einer gründlichen Kenntniß 
der Stadt, ein brauchbares Werkzeug für sich erkannten"		
63	", haben mir schon früher 
Vorschläge machen lassen;"		
64	"indessen habe ich mich erst heute entschlossen eine dieser 
Anerbietungen anzunehmen, da diese mir eine bestimmte Aussicht für die Zukunft gibt."		
65	"Ich werde morgen abschließen und hoffe bestimmt in zwei Jahren mein eigenes 
gutfundirtes Etablissement zu besitzen.« 
»Und in welcher Eigenschaft werden Sie dort sein?« fragte Helmstedt, den Kopf in die 
Hand stützend. 
»In einer rein menschenfreundlichen!« antwortete Seifert und warf das letzte Endchen 
seiner Cigarre weg."		
66	"Ich werde erstens den ankommenden Fremden zu einem guten Hotel 
verhelfen, zweitens aber ihr Beistand in allen Verlegenheiten des Fleisches oder 
Geldbeutels, überhaupt in allen Dingen sein, die nicht in das öffentliche 
Geschäftsleben hineinpassen.« 
»Das heißt einfach, Sie werden Runner, Kuppler, Wuchergehilfe und dergleichen 
werden.«"		
67	»Was wollen Sie, lieber Freund?		
68	"Wir sind in Amerika und jedes geldbringende Geschäft 
ist achtungswürdig – nur die Dummheit wird hier gebrandmarkt."		
69	"Uebrigens können Sie 
unter unseren Upper Tens Manchen finden, der mit nichts Besserem angefangen hat, und 
ich habe eine gewaltige Achtung vor diesen Leuten.« 
Helmstedt drückte mit einem tiefen Athemzuge die Hand vor die Augen."		
70	"»Wo logiren Sie 
denn, Seifert, seit Sie Ihr Boardinghaus verlassen haben?« fragte er nach einer 
Weile, als wolle er das eingetretene Schweigen unterbrechen. 
»"		
71	Vorläufig im Hotel Park!« war die Antwort.		
72	»Hotel Park?		
73	Wo ist das?«		
74	»Kennen Sie das größte und interessanteste Hotel New-Yorks nicht!?		
75	"Sie sind 
wirklich noch weit zurück."		
76	"Sehen Sie, so weit der grüne Rasen und die Bäume um uns 
reichen, erstreckt sich Hotel Park und Nachts können Sie das große und kleine Unglück 
beider Hemisphären hier einquartirt finden, hier, wo kein Schlafgeld verlangt wird."		
77	"Dort hinter City-Hall, zwischen zwei ausgezeichnet schönen Bäumen, kann ich Ihnen 
mein bisheriges Schlafzimmer zeigen."		
78	"Schade nur, daß nebenbei nicht auch für die 
nöthigen Mahlzeiten gesorgt ist."		
79	"Morgen indessen hoffe ich das Versäumte nachholen zu 
können, denn mich verlangt gewaltig danach, und falls Sie mich heute Abend mit einer 
Einladung zum Supper beehren sollten, würde ich es gern annehmen!«"		
80	Helmstedt richtete sich aus seiner gebückten Stellung in die Höhe.		
81	"»Ich gestehe Ihnen ehrlich,« sagte er nach einer Pause, »daß ich nicht geglaubt 
hätte, einen Deutschen von Ihrer Erziehung sich so wohlgefällig im Schlamme seiner 
Erniedrigung wälzen zu sehen."		
82	"Sagen Sie mir nur, finden Sie denn nicht selbst Ihr 
Leben unter aller Würde schmutzig und gemein?«"		
83	"Seifert zog ein halb lächelndes, halb nachdenkliches Gesicht, langte nach dem auf der 
Bank liegenden Etui und zündete sich eine neue Cigarre an. 
»Vom Standpunkte des deutschen Moralprincips aus mögen Sie Recht haben!« – sagte er 
dann;"		
84	"»ich huldige aber durchaus der Zweckmäßigkeits-Theorie, der einzig in Amerika 
anwendbaren, und sobald nur der Erfolg am Ziele lohnt, ist die Art des Weges dahin, 
ob schmutzig oder trocken, ziemlich gleichgiltig."		
85	"Ich kann Ihre Indignation 
vollständig verstehen, denn Sie sind noch ein Kind für Amerika;"		
86	"Sie werden mich aber 
anders beurtheilen, wenn Sie später denselben Grundsatz nicht allein im 
Geschäftsleben, sondern auch in allen Branchen unserer Staatsmaschine durchgeführt 
finden."		
87	"– Jetzt lassen Sie uns aber das bewußte Supper zu uns nehmen, denn ich 
fühle wirklich einen wahren Wolfshunger.« 
Sie erhoben sich und verließen den Platz, Seifert fortwährend schwatzend, Helmstedt 
mit widerwilligem Gesichte neben ihm hergehend. –"		
88	"Am Abend des nächsten Tages saß der junge Mann wieder auf seinem alten Platz, ohne 
aber dem regen Treiben vor seinen Augen einen Blick zu schenken."		
89	"Sein bewölktes 
Gesicht war zur Erde niedergewandt."		
90	"Das Bild von dem Schicksale so manches jungen 
Deutschen, das Seifert Tags vorher vor ihm aufgerollt, hatte mehr Eindruck auf ihn 
gemacht, als er sich selbst gestehen wollte;"		
91	"er hatte noch denselben Abend sein Geld 
durchgezählt und mit Schrecken die bedeutende Abnahme desselben wahrgenommen;"		
92	"er 
hatte den Morgen darauf die Runde bei allen seinen Bekannten gemacht, um ein klares 
Bild von den Aussichten zu erhalten, die er habe;"		
93	"– aber die ganze Beute, die er 
heimbrachte"		
94	", war: daß für den Augenblick keine passende Stellung für ihn aufzutreiben 
sei, daß sich aber gewiß mit der Zeit etwas finden würde, daß sich solche 
Angelegenheiten eben nicht zwingen ließen und abgewartet werden müßten, und daß er 
nur den guten Muth nicht verlieren solle."		
95	"Helmstedt aber sah die Sache heute anders 
an als gestern und erblickte schon die Zeit vor sich, wo er, aller Existenzmittel 
baar, dieselben Vertröstungen werde hören müssen."		
96	"Er erkannte die dringende 
Nothwendigkeit, selbst und energisch zur Gründung einer Existenz Hand anzulegen, aber 
wie?"		
97	"Er war preußischer Referendar gewesen, hatte sich während der verunglückten 
Revolution mit dem Staate und seiner Familie entzweit und war mit der letzten 
Unterstützung, die ihm die väterliche Hand gereicht, ohne Plan, aber wohlgemuth nach 
dem Lande der Freiheit gegangen."		
98	"Er hatte gerade nicht mehr gelernt, als sein 
Brodstudium und eine allgemeine Bildung erforderten;"		
99	"alle praktischen Kenntnisse, um 
hier fortzukommen, fehlten ihm gänzlich."		
100	"Je mehr er seine Fähigkeiten prüfte, je 
mehr erkannte er die Richtigkeit von Seiferts Bemerkung in diesem Punkte."		
101	"Zum 
Lehrer an einer höheren deutschen Anstalt fehlten ihm die gründlichen Kenntnisse, als 
niederer Schulmeister hätte er kaum gewußt, wie zu beginnen – das war indessen doch 
etwas zu Erreichendes."		
102	"Zum Ladendiener oder Buchhalter mangelte ihm jeder Begriff der 
Sache"		
103	und er verstand kein Englisch;		
104	"an einer Zeitung beschäftigt zu werden, war aus 
denselben Gründen gar keine Aussicht."		
105	"Er konnte ziemlich Clavier spielen, aber wie 
viele brodlose Musiklehrer hatte er schon getroffen! –"		
106	Schulmeister also!		
107	"Aber wie 
dahin gelangen?"		
108	"Er wollte sich morgen erkundigen und von früh bis Abends danach auf 
den Beinen sein."		
109	"So weit war er in seinen Gedanken gekommen, als ein verdunkelnder Körper vor seinen 
gesenkten Kopf trat – er blickte auf und sah gerade in das Gesicht der Dame von 
gestern, die mit demselben neckischen Lächeln ihr Auge auf ihm ruhen ließ."		
110	"Unruhig, 
in eine neue Sprachverlegenheit zu gerathen, sprang er auf, aber im reinsten Deutsch 
hörte er die Frage: »Heißen Sie nicht August von Helmstedt?"		
111	"« 
»Ja, – zu Befehl – jawol heiße ich so!« antwortete er etwas verblüfft und starrte die 
Fragerin an, – »mit wem habe ich die Ehre –« 
»Keine besondere Ehre!« erwiderte diese und zeigte lachend ihre schönen Zähne. 
»Kennen Sie mich wirklich nicht, Herr ›August‹ ich heiße Pauline Peters."		
112	"« 
»Pauline – meine kleine Nachbarin aus der Friedrichsstraße?« rief Helmstedt halb 
erstaunt, halb ungläubig. 
»"		
113	Gerade dieselbe, die aber während der Zeit ziemlich groß geworden ist.«		
114	»Aber um Gottes willen, Fräulein, was hat Sie denn nach New-York geführt?		
115	"« 
»O lassen Sie doch das Fräulein weg!« rief sie mit einem halb schmollenden, halb 
bittenden Ausdruck, »sind wir denn nicht Duzfreunde gewesen?"		
116	"Und wenn Sie sonst 
nichts hier hält, so geben Sie mir Ihren Arm, lassen Sie uns einen Spaziergang 
machen und plaudern – ich bin so glücklich, daß ich einmal wieder einen Bekannten aus 
früherer Zeit gefunden habe!«"		
117	"Ehe noch Helmstedt recht wußte wie, hatte er schon den halben Park an des Mädchens 
Seite durchschritten und fühlte ihren Arm leicht wie eine Feder in dem seinen liegen, 
aber gerade diese leise Berührung ging ihm durch alle Nerven;"		
118	"er sah in ihr frisches 
Gesicht und hatte doch eigentlich noch kein Wort von ihrem Geplauder bis hierher 
gehört."		
119	"»Aber sagen Sie mir doch nur für's Allererste, wie Sie nach New-York kommen!« begann 
er wieder, »sind denn Ihre Eltern auch hier?«"		
120	"Ein Schatten zog über das Gesicht seiner Begleiterin und als sie die Augen nach ihm 
hob und wieder senkte, war der Ausdruck darin ein so ganz von ihrem frühern 
neckischen Blick verschiedener, daß der junge Mann seine Frage fast bereute."		
121	"Ein 
wunderbarer Reiz aber lag in der leichten Beweglichkeit ihrer Züge, welche die 
kleinste Seelenregung wiederzuspiegeln schienen. 
»"		
122	Meine Eltern sind ja schon drei Jahre todt;		
123	"sie starben in der Choleraperiode,« 
sagte sie augenscheinlich gedrückt. »"		
124	"Sie waren damals schon längst aus Ihrem 
elterlichen Hause."		
125	"Ich mußte unter fremde Leute gehen und schlimme Zeiten 
durchmachen;"		
126	"ich war wirklich mehr zur ›Gräfin‹ geboren, – wie Sie in früheren Jahren 
oft meinten, wenn Sie mir recht was Schönes sagen wollten,« und ein lächelnder, 
schelmischer Sonnenblitz brach aus ihrem Auge, das sie einen Moment zu ihrem 
Begleiter aufschlug, »meine Hände waren für schwere Arbeit zu dünn und zu klein, und 
um den ganzen Tag am Nähtische zu sitzen, hatte ich zu viel elastisches Gummi in mir 
– es war wirklich eine ganz unglückselige Geschichte."		
127	"Endlich erhielt eine Freundin 
von mir, die sich auch am Nähtische schon halb den Rücken zerbrochen hatte, von einem 
Bruder hier in New-York das Geld zur Reise nach Amerika gesandt, und im Briefe 
dabei stand eine so wundervolle Schilderung über das Leben und die Stellung der 
Frauen hier, daß ich Alles, was noch vom Nachlaß meiner Eltern übrig war, 
zusammenraffte und kurz entschlossen mitreiste.« 
»Und so leben Sie jetzt bei den Verwandten Ihrer Freundin?"		
128	»Nicht mehr;		
129	"die Familie ist ins Land gezogen und ich wollte New-York nicht 
verlassen. –"		
130	Ich stehe jetzt hier ziemlich allein.«		
131	"Helmstedts Auge überflog die reiche, fashionable Kleidung des Mädchens und ein 
unangenehmer Gedanke dämmerte in ihm auf, der aber nicht zur vollen Macht kommen 
wollte, als er einen Blick in ihr Gesicht warf, dessen rosige, weiche Züge trotz des 
koketten Schelmes, der daraus hervorguckte, noch mit dem unberührten Duft der 
Jungfräulichkeit überhaucht zu sein schienen."		
132	"»Sie stehen allein hier, Fräulein?« fragte er nach einer augenblicklichen Pause, aber 
die leise Veränderung in seinem Tone schien ihr Alles, was in ihm vorging, verrathen 
zu haben."		
133	»Ja, fast allein, Herr von Helmstedt		
134	",« erwiderte sie und blickte ihn ernst 
und voll an, »aber ich will Ihnen zweierlei sagen:"		
135	"Erstens genießt die Frau hier zu 
Lande einen ganz merkwürdigen Schutz, wenn sie sich nur selbst schützen will, und 
zweitens können Sie, ohne Sorge, Ihre Ehre zu gefährden, sich mit mir in den Straßen 
New-Yorks zeigen!«"		
136	"»Aber Fräulein –« 
»Aber Herr von Helmstedt!"		
137	"Warum nennen Sie mich ›Fräulein‹, warum legen Sie einen 
solchen Gespensterton in Ihre Frage, ob ich allein stehe, und verderben mir meine 
ganze Freude, Sie wieder zu sehen?"		
138	"Ich bin doch nicht an vier hintereinanderfolgenden 
Tagen durch den Park gegangen, nur um sicher zu werden, ob Sie es auch wirklich 
seien, der auf die Bank dort gebannt schien, wie der trauernde Genius dort unten im 
Marbleshop auf dem Grabstein, den Niemand kaufen will, und habe Sie endlich 
zweimal angeredet – damit Sie alle Kindererinnerungen, die mich zu Ihnen trieben, 
vergessen und mich zuerst vorsichtig und bedächtig ins Gebet nehmen sollen, welche 
Stellung ich hier einnehme?« 
»Aber liebe Pauline, es ist mir ja doch nicht eingefallen –« 
»Gut, Herr August, ich bin jetzt schon zufrieden – sagen Sie mir nun aber auch, 
wollen Sie wol heute Abend den Thee mit mir nehmen?"		
139	"– ich meine in meiner Wohnung, 
wir werden ganz allein sein!«"		
140	"»Ja – von Herzen gern!« erwiderte Helmstedt, dem bei dieser Einladung zehn 
verschiedene Vorstellungen durch den Kopf schossen und eine eigenthümliche 
Befangenheit in ihm erzeugten – als er sie aber anblickte, traf er auf ein so 
feuchtes, inniges Auge, welches zu ihm aufschaute, daß er ihren Arm fester an sich 
zog, ohne sich von den ihn durchkreuzenden Gefühlen Rechenschaft zu geben."		
141	"Sie hatten Broadway erreicht und diesen eine Strecke verfolgt, ohne daß die lebhafte 
Passage ihnen viel Worte erlaubt hätte;"		
142	jetzt aber bog Helmstedts Begleiterin in		
143	"eine 
Seitenstraße ein."		
144	"»Wir haben noch ein gutes Stück bis zu meiner Wohnung,« sagte sie, 
»aber lassen Sie uns den Weg durch eine der stilleren Avenues nehmen – und jetzt 
sagen Sie mir doch nur mit zwei Worten, was Sie nach New-York gebracht?"		
145	"Ich hörte 
noch in Berlin, daß Sie Ihr Examen bestanden und beim Kammergericht eingetreten 
waren;"		
146	"das ist etwa ein und ein halbes Jahr her und ich habe mir in den letzten Tagen 
fast den Kopf wirre gedacht, was sie aus Ihrer Carriere nach Amerika hat werfen 
können."		
147	"Hätte mich der Schnurrbart nicht unsicher gemacht – 's ist schon so lange 
her, daß ich Sie zum letzten Male gesehen – so hätte ich Sie schon am ersten Abend 
angesprochen.«"		
148	"Helmstedt fühlte sich von der naiven Theilnahme, die sich in jedem Worte des Mädchens 
aussprach, warm und wohlthuend berührt, für ihn hatte aber die Zeit der 
früheren Bekanntschaft so fern gelegen, daß ihre plötzliche Erneuerung eine 
vollständige Ueberrumpelung für ihn gewesen war, zwischen der kleinen Pauline und dem 
blühenden Mädchen an seiner Seite, das sich bei ihren letzten Worten eben fester an 
seinen Arm gehangen"		
149	", fand er keine Verbindungsglieder, und trotz allem Wollen konnte 
er sich nicht bis zur völligen Unbefangenheit hinaufarbeiten."		
150	"Er erzählte ihr in 
kurzen Worten, was ihn nach New-York gebracht, daß er eben dabei sei, sich nach 
irgend einer neuen Lebensstellung umzusehen, und ihr Auge hatte dabei unverwandt an 
seinem Gesichte gehangen. »"		
151	"Aber Sie verstehen noch kein Englisch, August!« sagte sie, 
als er eine Pause machte, »und im niedersten deutschen Leben, wo Sie das etwa 
entbehren könnten, wollen Sie doch nicht anfangen?« 
»Ich denke, ich bewerbe mich irgendwo um eine Schulmeisterstelle!« 
»Um – um eine Schulmeisterstelle?« wiederholte seine Begleiterin, die plötzlich ihren 
Schritt anhielt und in ein Lachen ausbrach, so hell und klar wie Silber."		
152	"»Sie, 
August, Schulmeister?"		
153	"– aber seien Sie nicht böse, ich konnte mir wahrhaftig nicht 
helfen!« sagte sie weitergehend, augenscheinlich bemüht, ihre lustige Laune zu 
bändigen;"		
154	"»wie um Gottes willen sind Sie denn auf die Idee gekommen?« 
»Ja, wie!« erwiderte Helmstedt, und trotz aller sorgenvollen Gedanken, die plötzlich 
wieder vor seine Seele traten, hätte ihn beinahe das Lachen seiner Gefährtin 
angesteckt."		
155	"»Wissen Sie vielleicht etwas anderes für mich?« 
»Aber Sie sind doch Jurist,« erwiderte sie, ernster werdend, »warum gehen Sie nicht 
zuerst als Schreiber zu einem Advocaten und lernen, was Ihnen hier noch Noth thut, 
halten nachher Reden, werden bekannt, bekommen dadurch tüchtige Praxis oder lassen 
sich in ein paar Jahren zu irgend einem Amte wählen?"		
156	"Wenn ich ein Mann wäre, ich 
würde in Amerika gar nichts anderes als Advocat!«"		
157	»Aber ich verstehe ja noch nicht einmal ein Wort Englisch!«		
158	»Well, das ist bald gelernt.		
159	"Sie nehmen sich für ein paar Monate einen Lehrer und 
halten sich von aller deutschen Gesellschaft fern."		
160	"Stehe ich auch allein, so habe ich 
doch einen Freund, der Sie in die beste amerikanische Gesellschaft bringen kann –"		
161	"ich 
weiß, August, daß es gerade Ihnen unter den Amerikanern gar nicht fehlen kann, wenn 
Sie nur wollen!«"		
162	"Helmstedt antwortete nicht sogleich, aber sein Gesicht verrieth einen ganzen Berg 
trüber Gedanken."		
163	"»Sie sind ein liebes, gutes Kind, Pauline,« sagte er nach einer 
Weile, »aber mit dem Plane ist es nichts.«"		
164	»Aber der Grund?«		
165	»Weil's – weil's eben nicht geht.		
166	"Hätte ich zwei Monate, die ich bereits in New-York 
verlebt, nach Ihren Ideen genutzt, so hätte ich diese vielleicht verfolgen können, – 
jetzt ist es zu spät!«"		
167	"Das Mädchen sah ihm einen Augenblick forschend ins Gesicht, dann schien ihr plötzlich 
ein Verständniß aufzugehen, das sich wie ein Sonnenschein über ihre Züge verbreitete. 
»"		
168	"Dort ist meine Wohnung,« begann sie nach einer kurzen Pause, »wir wollen dort weiter 
über die Sache reden, vielleicht läßt sich trotz aller Unmöglichkeiten doch ein 
Ausweg finden.«"		
169	"Helmstedt sah das strahlende Lächeln in ihrem Gesichte, aber er 
begriff es nicht, wie ihm das ganze Mädchen und ihre Verhältnisse ein Räthsel 
waren."		
170	"Ueber einen von Bäumen beschatteten grünen Vorplatz, von der Straße durch ein 
eisernes Gitter abgeschlossen, schritt ihm das Mädchen nach einem kleinen, im 
eleganten »Cottagestile« gebauten Hause voran."		
171	"Sie sprang behend die Außentreppe 
hinauf, zog die Klingel und eine Mulattin, knapp und Zauber gekleidet, öffnete."		
172	"Sie 
machte der Eintretenden eine Meldung in englischer Sprache, von der Helmstedt aber 
nur die Worte: »Ihr Onkel ist hier gewesen, Miß Peters!« verstehen konnte, er sah 
aber, wie das Gesicht seiner Jugendfreundin ein schnelles Roth überflog, das 
indessen schon wieder verschwunden war, als sie sich nach ihm wandte."		
173	"»Lassen Sie uns 
hinaufgehen,« sagte sie, »es ist gemüthlicher dort als in dem steifen Parlor;"		
174	"sobald 
der Thee fertig ist, wird uns Mary rufen.«"		
